Code	Product
1200	SPORTS AND RECREATIONAL ACTIVITY, N.E.C.
1202	BICYCLES OR ACCESSORIES
1204	BASEBALL, ACTIVITY AND RELATED EQUIPMENT
1205	BASKETBALL, ACTIVITY AND RELATED EQUIPMENT
1206	BOWLING (ACTIVITY, APPAREL OR EQUIPMENT)
1207	BOXING (ACTIVITY, APPAREL OR EQUIPMENT)
1208	CROQUET (ACTIVITY, APPAREL OR EQUIPMENT)
1211	FOOTBALL (ACTIVITY, APPAREL OR EQUIPMENT)
1212	GOLF (ACTIVITY, APPAREL OR EQUIPMENT)
1213	GOLF CARTS, MOTORIZED VEHICLE
1215	LACROSSE (ACTIVITY, APPAREL OR EQUIPMENT)
1217	SLEDS
1235	ARCHERY (ACTIVITY, APPAREL OR EQUIPMENT)
1237	GAS, AIR OR SPRING-OPERATED GUNS
1239	HORSEBACK RIDING (ACTIVITY, APPAREL OR EQUIPMENT)
1244	MONKEY BARS OR OTHER PLAYGROUND CLIMBING APPARATUS
1257	HORSESHOES (ACTIVITY, APPAREL OR EQUIPMENT)
1258	MOUNTAIN CLIMBING (ACTIVITY, APPAREL OR EQUIPMENT)
1260	BILLIARDS OR POOL (ACTIVITY, APPAREL OR EQUIPMENT)
1261	SURFING (ACTIVITY, APPAREL OR EQUIPMENT)
1264	WATER SKIING (ACTIVITY, APPAREL OR EQUIPMENT)
1266	VOLLEYBALL (ACTIVITY, APPAREL OR EQUIPMENT)
1267	SOCCER (ACTIVITY, APPAREL OR EQUIPMENT)
3220	VOLLEYBALL (ACTIVITY, APPAREL OR EQUIPMENT), N.S.
3222	BADMINTON (ACTIVITY, APPAREL OR EQUIPMENT)
3225	ORGANIZED SOCCER (ACTIVITY, APPAREL OR EQUIPMENT)
3226	BASKETBALL (ACTIVITY, APPAREL OR EQUIPMENT), N.S.
3227	INFORMAL FOOTBALL (ACTIVITY, APPAREL OR EQUIPMENT)
3228	ORGANIZED BASEBALL (ACTIVITY, APPAREL OR EQUIPMENT)
3231	GYMNASTICS (ACTIVITY, APPAREL OR EQUIPMENT), N.S.
3234	RUGBY (ACTIVITY, APPAREL OR EQUIPMENT)
3235	OTHER BALL SPORTS (ACTIVITY, APPAREL OR EQUIPMENT)
3236	BALL SPORTS (ACTIVITY, APPAREL OR EQUIPMENT), N.S.
3254	CHEERLEADING (ACTIVITY, APPAREL OR EQUIPMENT)
3255	ICE SKATING (ACTIVITY, APPAREL OR EQUIPMENT)
3256	SQUASH, RACQUET BALL OR PADDLE BALL
3257	MARTIAL ARTS (ACTIVITY, APPAREL OR EQUIPMENT)
3258	MINIBIKES OR TRAIL BIKES
3259	GO-CARTS
3260	FENCING (ACTIVITY, APPAREL OR EQUIPMENT)
3261	SHUFFLEBOARD (ACTIVITY, APPAREL OR EQUIPMENT)
3263	INFORMAL GYMNASTICS (ACTIVITY, APPAREL OR EQUIPMENT)
3265	WEIGHT LIFTING (ACTIVITY, APPAREL OR EQUIPMENT)
3267	INFORMAL BASKETBALL (ACTIVITY, APPAREL OR EQUIP.)
3268	INFORMAL VOLLEYBALL (ACTIVITY, APPAREL OR EQUIP.)
3269	ORGANIZED FOOTBALL (ACTIVITY, APPAREL OR EQUIPMENT)
3270	BASEBALL (ACTIVITY, APPAREL OR EQUIP.), NOT SPECIFIED
3271	SOCCER (ACTIVITY, APPAREL OR EQUIPMENT), NOT SPECIFIED
3272	HOCKEY (ACTIVITY, APPAREL OR EQUIPMENT), NOT SPECIFIED
3274	SWIMMING (ACTIVITY, APPAREL OR EQUIPMENT)
3276	WATER POLO (ACTIVITY, APPAREL OR EQUIPMENT)
3277	EXERCISE EQUIPMENT
3278	DANCING (ACTIVITY, APPAREL OR EQUIPMENT)
3282	CURLING (ACTIVITY, APPAREL OR EQUIPMENT)
3283	SNOW SKIING (ACTIVITY, APPAREL OR EQUIPMENT)
3284	TENNIS (ACTIVITY, APPAREL OR EQUIPMENT)
